name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Madhav Avsh,http://www.espncricinfo.com/ci/content/player/1176127.html,"December 19, 1992, Moradabad, Uttar Pradesh ",Arunachal Pradesh,-,9,0,0,0,2*,0,1,1,1,2,0,22.22,0
KM Madhavan,http://www.espncricinfo.com/ci/content/player/31371.html,date unknown ,Maharashtra,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Jay Pande,http://www.espncricinfo.com/ci/content/player/707031.html,"September 20, 1994,  Pune, Maharashtra ","Maharashtra,",22.25,393,22,0,1,74,0,8,4,0,178,2,45.29,0
A Panda,http://www.espncricinfo.com/ci/content/player/32627.html,"May 21, 1961, Cuttack, Orissa ",Orissa,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Bibhudutta Panda,http://www.espncricinfo.com/ci/content/player/382771.html,"March 14, 1989, Cuttack, Orissa ","Orissa,",11.50,31,0,0,0,14,0,2,1,0,23,3,74.19,0
Kavish Panchal,http://www.espncricinfo.com/ci/content/player/964383.html,"September 6, 1996, Ahmedabad, Gujarat ","Gujarat,",17.00,10,3,0,0,17,0,1,1,0,17,0,170.00,0
Ketan Panchal,http://www.espncricinfo.com/ci/content/player/237096.html,"October 4, 1986 ",Baroda,16.54,1442,79,12,3,80,0,36,23,1,579,4,40.15,0
Asav Panchal,http://www.espncricinfo.com/ci/content/player/1083683.html,"September 19, 1997, Ahmedabad, Gujarat ","Gujarat,",2.00,3,0,1,0,2*,0,2,5,1,2,0,66.66,0
Agniv Pan,http://www.espncricinfo.com/ci/content/player/1060429.html,"January 1, 1997,  West Midnapore, Bengal ","Bengal,",20.50,751,48,13,3,70,0,16,9,0,328,1,43.67,1
Devika Palshikar,http://www.espncricinfo.com/ci/content/player/54035.html,"June 20, 1979, Malvan, Maharashtra ","India Women,",3.50,93,0,0,0,6,0,2,1,0,7,0,7.52,0
Rajat Paliwal,http://www.espncricinfo.com/ci/content/player/538021.html,"December 24, 1991, Sonepat, Haryana ","India A,",45.46,8542,532,64,15,203,14,110,67,12,4456,14,52.16,0
Krishna Palai,http://www.espncricinfo.com/ci/content/player/1161008.html,"November 10, 1999 ",Odisha,-,8,0,0,0,5*,0,1,1,1,5,0,62.50,0
Ishtiyaq Rasool,http://www.espncricinfo.com/ci/content/player/733795.html,"November 17, 1988, Anantnag ",Jammu & Kashmir,15.00,35,8,3,0,29,0,3,3,0,45,1,128.57,0
Ishtiaq Elahi,http://www.espncricinfo.com/ci/content/player/1135737.html,"March 7, 1998, Srinagar ",Jammu & Kashmir,9.00,24,3,1,0,10,0,2,2,0,18,0,75.00,0
Ishan Kishan,http://www.espncricinfo.com/ci/content/player/720471.html,"July 18, 1998, Patna, Bihar ","Gujarat Lions,",39.04,3620,309,79,14,273,5,69,40,4,2538,65,70.11,9
Irfan Khan,http://www.espncricinfo.com/ci/content/player/430747.html,"July 2, 1988, Sikandarabad, Uttar Pradesh ",Services,16.11,409,20,1,0,45,0,9,6,0,145,1,35.45,0
Jenni Irani,http://www.espncricinfo.com/ci/content/player/29543.html,"August 18, 1923, Karachi, Sind ","India,",3.00,22,0,2,0,2*,0,3,2,2,3,0,13.63,1
Iqlas Naha,http://www.espncricinfo.com/ci/content/player/1159739.html,"October 11, 1994, Manama, Kerala ",Puducherry,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Iqbal Abdulla,http://www.espncricinfo.com/ci/content/player/277237.html,"December 2, 1989, Azamgarh ","India A,",28.77,3053,227,44,8,159*,2,76,59,13,1813,23,59.38,0
Mohsin Iqbal,http://www.espncricinfo.com/ci/content/player/376110.html,"September 30, 1983, Doda, Jammu & Kashmir ",Jammu & Kashmir,6.33,73,7,0,0,28,0,6,3,0,38,0,52.05,0
Manoj Ingale,http://www.espncricinfo.com/ci/content/player/1175610.html,date unknown ,Maharashtra,-,3,1,1,0,6*,0,1,3,1,6,0,200.00,0
Karthik Raman,http://www.espncricinfo.com/ci/content/player/952857.html,"April 7, 1997, East Godavari, Andhra Pradesh ",Andhra,11.00,126,7,1,0,41,0,5,4,0,55,0,43.65,0
Akshay Karnewar,http://www.espncricinfo.com/ci/content/player/528730.html,"October 12, 1992, Wagholi, Maharashtra ","Royal Challengers Bangalore,",35.40,872,64,6,2,102,1,17,12,2,531,17,60.89,0
Saba Karim,http://www.espncricinfo.com/ci/content/player/30042.html,"November 14, 1967, Patna, Bihar ","India,",15.00,46,2,1,0,15,0,1,1,0,15,0,32.60,0
Jesal Karia,http://www.espncricinfo.com/ci/content/player/340061.html,"November 7, 1989,  Petlad ",Gujarat,22.65,789,55,11,1,72,0,20,13,0,453,5,57.41,0
Sahil Karathia,http://www.espncricinfo.com/ci/content/player/625405.html,"November 15, 1991,  Joravamagar, Saurashtra ",Saurashtra,11.00,8,0,0,0,11,0,1,2,0,11,1,137.50,0
Karan Shinde,http://www.espncricinfo.com/ci/content/player/956035.html,"September 19, 1997, Kurnool, Andhra Pradesh ","Andhra,",119.00,272,18,0,0,103*,1,2,1,1,119,0,43.75,0
Karan Sharma,http://www.espncricinfo.com/ci/content/player/1131615.html,"November 12, 1996, Amritsar, Punjab ",Railways,8.33,98,6,1,0,33,0,6,7,0,50,1,51.02,0
Karan Kaila,http://www.espncricinfo.com/ci/content/player/694213.html,"September 8, 1994, Patiala, Punjab ","India Under-19s,",9.00,17,1,1,0,12,0,3,3,1,18,1,105.88,0
Karanveer Singh,http://www.espncricinfo.com/ci/content/player/322535.html,"November 8, 1987, Chandigarh, Punjab ","Chandigarh Lions,",35.75,539,40,9,1,88*,0,11,10,3,286,0,53.06,0
Abhijit Karambelkar,http://www.espncricinfo.com/ci/content/player/391168.html,"June 4, 1991, Baroda, Gujarat ",Baroda,20.22,460,22,2,1,86,0,10,6,1,182,1,39.56,0
Himanshu Joshi,http://www.espncricinfo.com/ci/content/player/290651.html,"February 21, 1987, Nagpur, Maharashtra ",Vidarbha,18.27,500,23,0,1,51,0,12,7,1,201,1,40.20,0
Mansi Joshi,http://www.espncricinfo.com/ci/content/player/960815.html,"August 18, 1993, Roorkee, Punjab ","Haryana Women,",4.00,12,0,4,0,4*,0,3,10,1,8,0,66.66,0
Ajinkya Joshi,http://www.espncricinfo.com/ci/content/player/29978.html,"November 19, 1986, Thane ",Maharashtra,1.25,12,0,0,0,5,0,4,2,0,5,0,41.66,0
Aniruddha Joshi,http://www.espncricinfo.com/ci/content/player/420644.html,"November 7, 1987, Bangalore, Karnataka ","Karnataka State Cricket Association XI,",13.60,158,14,4,1,50*,0,11,12,1,136,2,86.07,0
Sijomon Joseph,http://www.espncricinfo.com/ci/content/player/1081443.html,"September 28, 1997, Kottayam, Kerala ","India Under-19s,",15.00,696,20,3,2,56,0,17,10,1,240,3,34.48,0
Jonty Sidhu,http://www.espncricinfo.com/ci/content/player/1081438.html,"December 9, 1997, Delhi ","Delhi Under-19s,",68.80,791,37,3,1,140*,1,6,4,1,344,6,43.48,0
Rongsen Jonathan,http://www.espncricinfo.com/ci/content/player/424176.html,"October 4, 1986, Umaga, Karnataka ","Karnataka,",38.68,1378,109,7,6,131,3,25,15,0,967,22,70.17,0
David Johnson,http://www.espncricinfo.com/ci/content/player/29712.html,"October 16, 1971, Arasikere, Karnataka ","India,",4.00,35,1,0,0,5,0,3,2,1,8,0,22.85,0
Joginder Singh,http://www.espncricinfo.com/ci/content/player/422845.html,"July 11, 1980, Delhi ","Bharat Sanchar Nigam Limited,",32.00,73,10,0,1,52*,0,6,7,3,96,4,131.50,0
Joginder Sharma,http://www.espncricinfo.com/ci/content/player/29976.html,"October 23, 1983, Rohtak ","India,",35.00,30,5,3,0,29*,0,3,4,2,35,0,116.66,0
Mansingh Nigade,http://www.espncricinfo.com/ci/content/player/227710.html,"October 2, 1986, Pune, Maharashtra ",Maharashtra,21.84,763,39,2,1,53,0,13,7,0,284,1,37.22,0
MD Nidheesh,http://www.espncricinfo.com/ci/content/player/822703.html,"May 5, 1991, Chembu, Kottayam, Kerala ","Kerala,",7.90,290,19,10,0,34,0,25,18,4,166,6,57.24,0
Niaz Khan,http://www.espncricinfo.com/ci/content/player/31914.html,date unknown ,Jammu & Kashmir,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Oren Ngullie,http://www.espncricinfo.com/ci/content/player/1159814.html,"December 20, 1994 ",Nagaland,-,-,-,0,-,-,-,-,2,-,-,-,-,0
Newab Singh,http://www.espncricinfo.com/ci/content/player/604537.html,"June 27, 1992, Jalandhar, Punjab ",Himachal Pradesh,37.00,38,2,1,0,27,0,2,2,1,37,1,97.36,0
Techi Neri,http://www.espncricinfo.com/ci/content/player/1159763.html,"May 10, 1994 ",Arunachal Pradesh,8.20,251,10,2,0,23*,0,12,6,2,82,0,32.66,0
Siddhesh Neral,http://www.espncricinfo.com/ci/content/player/604560.html,"June 3, 1994, Nagpur ",Vidarbha,28.66,142,11,2,1,74,0,5,5,2,86,4,60.56,0
Ritesh Negi,http://www.espncricinfo.com/ci/content/player/431013.html,"December 29, 1987 ",Services,28.00,31,3,3,0,10,0,4,6,3,28,0,90.32,0
Ashish Nehra,http://www.espncricinfo.com/ci/content/player/31820.html,"April 29, 1979, Delhi ","India,",5.50,256,8,5,0,19,0,25,17,11,77,3,30.07,0
Pawan Negi,http://www.espncricinfo.com/ci/content/player/530773.html,"January 6, 1993, Delhi ","Air India,",-,-,-,2,-,-,-,-,1,-,-,-,-,0
Abhay Negi,http://www.espncricinfo.com/ci/content/player/1159789.html,"October 18, 1992, Uttarakhand ","Meghalaya,",15.30,348,25,2,0,38,0,10,8,0,153,2,43.96,0
Neeraj Sharma,http://www.espncricinfo.com/ci/content/player/31886.html,"November 27, 1984, Amritsar, Punjab ",Delhi Under-16s,0.00,12,0,0,0,0,0,2,1,0,0,0,0.00,0
Neetesh Sharma,http://www.espncricinfo.com/ci/content/player/1175451.html,"November 10, 1982, Shillong, Meghalaya ",Meghalaya,2.00,11,0,1,0,2,0,1,3,0,2,0,18.18,0
Neelam Obi,http://www.espncricinfo.com/ci/content/player/1163661.html,"January 16, 1993, Arunachal Pradesh ",Arunachal Pradesh,11.57,520,19,1,1,80,0,14,7,0,162,0,31.15,0
Neelambuj Vats,http://www.espncricinfo.com/ci/content/player/1136206.html,"November 24, 1995 ",Tripura,53.50,167,14,0,1,55*,0,4,2,2,107,3,64.07,0
Tukuna Sahoo,http://www.espncricinfo.com/ci/content/player/236764.html,"January 7, 1987, Bhubaneswar, Orissa ",Orissa,7.50,40,3,0,0,15,0,2,1,0,15,0,37.50,0
Subhrajit Sahoo,http://www.espncricinfo.com/ci/content/player/423845.html,"November 12, 1988, Paradeep, Orissa ","Orissa,",21.75,2069,126,63,6,114*,1,47,29,2,979,7,47.31,0
Prasant Sahoo,http://www.espncricinfo.com/ci/content/player/430124.html,"December 5, 1984 ",Orissa,0.00,1,0,0,0,0,0,1,1,0,0,0,0.00,0
Gautam Sahoo,http://www.espncricinfo.com/ci/content/player/34148.html,date unknown ,Orissa,0.00,1,0,0,0,0,0,1,1,0,0,0,0.00,0
Sahim Hasan,http://www.espncricinfo.com/ci/content/player/1169611.html,"December 3, 1996, Kushi Nagar, Uttar Pradesh ",Railways,5.50,24,2,1,0,9,0,2,1,0,11,0,45.83,0
Samrat Saheba,http://www.espncricinfo.com/ci/content/player/33782.html,"March 27, 1981, Ahmedabad, Gujarat ",Gujarat,-,-,-,1,-,-,-,-,1,-,-,-,-,0
Sahban Khan,http://www.espncricinfo.com/ci/content/player/1135343.html,"December 5, 1995, janjirgir Champa ",Chhattisgarh,38.00,189,12,1,1,52*,0,5,6,1,152,4,80.42,0
Parth Sahani,http://www.espncricinfo.com/ci/content/player/851409.html,"March 9, 1993,  Ujjain, Madhya Pradesh ","Madhya Pradesh,",32.50,158,15,4,0,42,0,5,7,1,130,1,82.27,0
Akhilesh Sahani,http://www.espncricinfo.com/ci/content/player/1159768.html,"March 16, 1994 ",Arunachal Pradesh,14.75,225,16,0,1,65,0,8,4,0,118,1,52.44,0
Shahbaz Ahmed,http://www.espncricinfo.com/ci/content/player/1159711.html,"December 12, 1994, Mewat, Haryana ",Bengal,16.66,103,6,0,0,27,0,3,2,0,50,1,48.54,0
Wriddhiman Saha,http://www.espncricinfo.com/ci/content/player/279810.html,"October 24, 1984, Shaktigarh ","India,",30.63,2610,108,75,5,117,3,46,32,8,1164,12,44.59,10
Viki Saha,http://www.espncricinfo.com/ci/content/player/680355.html,"December 31, 1997, Agartala, Tripura ","Tripura,",13.20,168,10,2,0,18*,0,15,10,10,66,0,39.28,0
Sanjib Saha,http://www.espncricinfo.com/ci/content/player/290717.html,"September 21, 1987, Agartala, Tripura ",Tripura,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Aniruddha Saha,http://www.espncricinfo.com/ci/content/player/604566.html,"April 5, 1992, Agartala, Tripura ",Tripura,5.75,98,3,0,0,13,0,4,2,0,23,0,23.46,0
John Mackie,http://www.espncricinfo.com/ci/content/player/31134.html,"February 11, 1895, Wincanton, Somerset, England ",Europeans (India),-,-,-,1,-,-,-,-,1,-,-,-,-,0
Nilesh Mulgaonkar,http://www.espncricinfo.com/ci/content/player/340872.html,"November 9, 1979, Pernem, Goa ",Goa,-,-,-,0,-,-,-,-,1,-,-,-,-,0
M Montero,http://www.espncricinfo.com/ci/content/player/290718.html,date unknown ,Maharashtra,-,-,-,1,-,-,-,-,1,-,-,-,-,0
Ankush Gajanan Mohod,http://www.espncricinfo.com/ci/content/player/324445.html,"October 2, 1986, Dasheer, Maharashtra, India ",Vidarbha,9.00,51,2,1,0,18,0,2,1,0,18,0,35.29,0
Nikunj Mohite,http://www.espncricinfo.com/ci/content/player/290714.html,"September 16, 1991, Vadordara ",Baroda,7.00,32,0,0,0,7,0,1,1,0,7,0,21.87,0
Sameer Mohanty,http://www.espncricinfo.com/ci/content/player/376438.html,"March 12, 1986, Cuttack, Orissa ",Orissa,3.00,9,1,1,0,6,0,2,1,0,6,0,66.66,0
Basant Mohanty,http://www.espncricinfo.com/ci/content/player/324477.html,"November 24, 1986, Cuttack, India ",Orissa,13.31,2776,177,21,2,60*,0,126,91,37,1185,9,42.68,0
DR Mishra,http://www.espncricinfo.com/ci/content/player/340513.html,date unknown ,Orissa,19.00,38,1,0,0,19,0,1,1,0,19,0,50.00,0
Manish Sharma,http://www.espncricinfo.com/ci/content/player/323119.html,"October 19, 1988, Bundi, Rajasthan ",Rajasthan,18.83,210,18,1,1,68,0,6,3,0,113,0,53.80,0
Alok Mangaraj,http://www.espncricinfo.com/ci/content/player/279657.html,"November 28, 1988, Bhubaneswar ",Orissa,5.29,237,12,4,0,24*,0,29,22,12,90,4,37.97,0
Amit Pal,http://www.espncricinfo.com/ci/content/player/32380.html,"January 25, 1980, Indore ",Madhya Pradesh,32.50,310,17,2,0,49,0,4,2,0,130,0,41.93,0
Soumya Pakre,http://www.espncricinfo.com/ci/content/player/447140.html,"March 18, 1989, Tribeny, Bengal ",Bengal,-,3,0,0,0,2*,0,1,2,1,2,0,66.66,0
Ashay Palkar,http://www.espncricinfo.com/ci/content/player/1159730.html,"September 1, 1989, Mumbai, Maharashtra ",Maharashtra,13.83,298,11,0,0,34,0,7,4,1,83,1,27.85,0
Takar Paja,http://www.espncricinfo.com/ci/content/player/1159765.html,"January 18, 1994 ",Arunachal Pradesh,1.00,10,0,0,0,2,0,2,2,0,2,0,20.00,0
Anoop Pai,http://www.espncricinfo.com/ci/content/player/32153.html,"December 20, 1984, Addis Ababa, Ethiopia ",Hyderabad (India),28.43,2658,114,15,8,130,2,38,20,1,1052,2,39.57,0
Sanjay Pahal,http://www.espncricinfo.com/ci/content/player/924007.html,"June 29, 1993, Sonipat, Punjab ",Haryana,26.00,826,62,4,4,59,0,22,14,4,468,12,56.65,0
Devdutt Padikkal,http://www.espncricinfo.com/ci/content/player/1119026.html,"July 7, 2000, Edapal, Kerala ","Bellary Tuskers,",25.80,554,27,3,3,77,0,10,5,0,258,3,46.57,0
Prasanjit Das,http://www.espncricinfo.com/ci/content/player/382781.html,"June 11, 1987, Sodepur, Bengal ","Bengal,",27.33,184,10,1,1,72,0,3,2,0,82,0,44.56,0
Amit Pachhara,http://www.espncricinfo.com/ci/content/player/924459.html,"September 8, 1995, Mathura, Uttar Pradesh ","Services,",12.16,461,18,2,0,29,0,12,7,0,146,2,31.67,0
Parvinder Awana,http://www.espncricinfo.com/ci/content/player/323131.html,"July 19, 1986, Delhi, India ","India,",-,-,-,0,-,-,-,-,2,-,-,-,-,0
Prem Prateek,http://www.espncricinfo.com/ci/content/player/324479.html,"September 11, 1987, Hisar ",Haryana,9.50,28,2,0,0,19,0,2,1,0,19,1,67.85,0
Reagan Pinto,http://www.espncricinfo.com/ci/content/player/390619.html,"September 21, 1991, Bombay (now Mumbai), Maharashtra ",Goa,32.55,2772,159,11,7,154,3,47,31,4,1400,10,50.50,0
Utkarsh Patel,http://www.espncricinfo.com/ci/content/player/377277.html,"October 11, 1987, Paradi, Gujarat ",Baroda,20.75,321,21,3,1,53,0,10,7,2,166,2,51.71,0
Penta Rao,http://www.espncricinfo.com/ci/content/player/390840.html,"May 10, 1985, Vishakapatnam ",Services,34.50,314,14,0,1,89,0,5,3,1,138,0,43.94,0
Mehul Patel,http://www.espncricinfo.com/ci/content/player/423818.html,"January 18, 1989, Gaviyar, Gujarat ",Gujarat Cricket Association XI,16.11,703,33,5,1,62,0,23,18,6,274,8,38.97,0
 Anupam Patel,http://www.espncricinfo.com/ci/content/player/376108.html,"May 1, 1985, Jamshedpur, Bihar ",Gujarat,-,0,0,0,0,0*,0,1,2,1,0,0,-,0
Pratharesh Parmar,http://www.espncricinfo.com/ci/content/player/341158.html,"May 25, 1988, Gandhinagar, Gujarat ",Gujarat,38.33,1546,53,12,5,67,0,19,12,4,575,4,37.19,0
Sachidanand Pandey,http://www.espncricinfo.com/ci/content/player/1062345.html,"July 1, 1996, Allahabad, Uttar Pradesh ",Services,10.46,406,20,6,0,31*,0,29,21,16,136,2,33.49,0
Pankaj Kumar Rao,http://www.espncricinfo.com/ci/content/player/391712.html,"October 19, 1989, Paradi Bobbili ",Madhya Pradesh,4.60,309,19,5,0,26,0,33,22,10,106,2,34.30,0
Indrajit Kumar,http://www.espncricinfo.com/ci/content/player/1163681.html,"October 21, 1987, Patna, Bihar ",Bihar,43.85,440,44,2,0,222,1,7,6,0,307,3,69.77,0
Indiya Toku,http://www.espncricinfo.com/ci/content/player/1163660.html,"September 29, 1994, Papu, Naharlagun ",Arunachal Pradesh,5.50,76,5,1,0,11,0,6,3,0,33,1,43.42,0
Ravi Inder Singh,http://www.espncricinfo.com/ci/content/player/317291.html,"November 4, 1987, Patiala, Punjab ",Punjab,31.77,5315,364,38,10,142,6,81,45,5,2415,9,45.43,0
Imtiaz Ahmed,http://www.espncricinfo.com/ci/content/player/340939.html,"November 10, 1985, Bhadohi, Uttar Pradesh ","Chennai Super Kings,",17.27,1164,73,15,1,53*,0,54,45,14,691,30,59.36,0
Imran Haroon,http://www.espncricinfo.com/ci/content/player/722493.html,"December 25, 1988, Srinagar, Kashmir ",Jammu & Kashmir,18.90,429,22,1,0,102*,1,11,6,1,189,2,44.05,0
Shubham Kapse,http://www.espncricinfo.com/ci/content/player/1126969.html,"July 22, 1994, Buldhana, Maharashtra ","Vidarbha,",0.00,6,0,0,0,0,0,1,1,0,0,0,0.00,0
Kapoor Singh,http://www.espncricinfo.com/ci/content/player/30301.html,"March 15, 1986, Chamba, Himachal Pradesh ",Himachal Pradesh Under-16s,2.66,39,1,0,0,5,0,4,3,1,8,0,20.51,0
Kunal Kapoor,http://www.espncricinfo.com/ci/content/player/420640.html,"September 18, 1987, Bangalore, Karnataka ","Karnataka,",31.65,1594,98,8,4,106,2,29,17,6,728,2,45.67,0
Aashish Kapoor,http://www.espncricinfo.com/ci/content/player/30030.html,"March 25, 1971, Madras (now Chennai), Tamil Nadu ","India,",19.40,181,8,1,0,42,0,6,4,1,97,2,53.59,0
Kapoor,http://www.espncricinfo.com/ci/content/player/30509.html,date unknown ,United Provinces,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Kanwar Singh Chohan,http://www.espncricinfo.com/ci/content/player/1159719.html,"January 30, 1998 ",Odisha,-,3,1,0,0,5*,0,1,2,1,5,0,166.66,0
Sarul Kanwar,http://www.espncricinfo.com/ci/content/player/477049.html,"November 8, 1987, Saharandpur, Uttar Pradesh ","Mumbai Indians,",36.73,1047,125,4,3,130,2,23,12,0,845,19,80.70,0
Jiwanjot Singh,http://www.espncricinfo.com/ci/content/player/586985.html,"November 6, 1990, Patiala ",Punjab,38.82,8762,601,53,22,238,10,116,71,5,4310,1,49.18,0
Vandit Jivrajani,http://www.espncricinfo.com/ci/content/player/853865.html,"September 3, 1991, Rajkot, Saurashtra ","Saurashtra,",12.16,324,10,2,0,37,0,11,8,5,73,0,22.53,0
Jitender,http://www.espncricinfo.com/ci/content/player/1161751.html,date unknown ,Manipur,8.00,22,1,0,0,8,0,1,1,0,8,0,36.36,0
Abhishek Jhunjhunwala,http://www.espncricinfo.com/ci/content/player/29702.html,"December 1, 1982, Calcutta (now Kolkata), Bengal ","Bengal,",30.76,2880,183,16,4,139,4,42,26,0,1292,2,44.86,0
Vikas Jhorar,http://www.espncricinfo.com/ci/content/player/1136014.html,date unknown ,"Rajasthan,",-,2,0,0,0,0*,0,1,2,1,0,0,0.00,0
Parth Jhala,http://www.espncricinfo.com/ci/content/player/427619.html,"October 28, 1989, Baroda ",Hyderabad Cricket Association Colts XI,46.50,202,11,1,1,75*,0,3,2,1,93,0,46.03,0
RK Jha,http://www.espncricinfo.com/ci/content/player/237699.html,date unknown ,Bihar,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Manish Jha,http://www.espncricinfo.com/ci/content/player/29699.html,"November 6, 1977, Burnpur, Bengal ",Services,2.00,41,0,0,0,6*,0,6,6,3,6,0,14.63,0
Santosh Jena,http://www.espncricinfo.com/ci/content/player/340016.html,"April 8, 1987, Cuttack ","Orissa,",11.40,90,9,1,0,39,0,6,4,1,57,1,63.33,0
Shadab Nazar,http://www.espncricinfo.com/ci/content/player/447689.html,"June 14, 1987, Bijnore ",Services,11.19,420,37,4,1,56*,0,25,19,4,235,1,55.95,0
Abhishek Nayar,http://www.espncricinfo.com/ci/content/player/32091.html,"October 8, 1983, Secunderabad, Hyderabad ","India,",-,7,0,0,0,0*,0,1,3,1,0,0,0.00,0
Suru Nayak,http://www.espncricinfo.com/ci/content/player/31808.html,"October 20, 1954, Bombay (now Mumbai), Maharashtra ","India,",9.50,49,3,1,0,11,0,3,2,1,19,0,38.77,0
Subham Nayak,http://www.espncricinfo.com/ci/content/player/942655.html,"October 25, 1998, Bhadrak, Orissa ","India Under-19s,",8.00,59,3,0,0,12,0,4,2,2,16,0,27.11,0
Sujit Nayak,http://www.espncricinfo.com/ci/content/player/477057.html,"June 23, 1989, Mumbai ","Delhi Daredevils,",21.50,44,4,0,0,23,0,2,2,0,43,1,97.72,0
Nawazul Munier,http://www.espncricinfo.com/ci/content/player/1176256.html,date unknown ,Jammu & Kashmir,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Navneet Singh,http://www.espncricinfo.com/ci/content/player/851751.html,"December 7, 1994, Shahdol, Gujarat ","Baroda,",33.52,2362,96,6,5,121,1,26,14,1,838,1,35.47,0
Naveen Reddy,http://www.espncricinfo.com/ci/content/player/32080.html,"May 9, 1984, Hyderabad, Andhra Pradesh ","Hyderabad Under-16s,",7.50,25,3,0,0,14,0,2,2,0,15,0,60.00,0
Gneshwar Naveen,http://www.espncricinfo.com/ci/content/player/777539.html,"May 24, 1994, Mandya, Karnataka ",Bijapur Bulls,19.66,76,7,1,0,34,0,3,3,0,59,1,77.63,0
Naved Ahmed,http://www.espncricinfo.com/ci/content/player/598956.html,"July 1, 1986, Fatehpur, Uttar Pradesh ",Bengal,18.85,402,22,4,1,95,0,7,4,0,132,0,32.83,0
Sunil Saggi,http://www.espncricinfo.com/ci/content/player/34246.html,date unknown ,Punjab,-,-,-,1,-,-,-,-,3,-,-,-,-,0
Himalaya Sagar,http://www.espncricinfo.com/ci/content/player/34386.html,"May 3, 1989, Kanker, Madhya Pradesh ","Madhya Pradesh,",21.50,422,30,8,0,46,0,11,6,1,215,0,50.94,0
Sachin Baby,http://www.espncricinfo.com/ci/content/player/432783.html,"December 18, 1988, Thodupuzha, Kerala ","India A,",32.09,6647,295,64,14,250*,5,98,64,7,2921,34,43.94,0
Yogesh Sachdeva,http://www.espncricinfo.com/ci/content/player/34201.html,"July 31, 1982, Delhi ",Delhi,9.00,20,1,1,0,8,0,3,3,2,9,0,45.00,0
Sabir Khan,http://www.espncricinfo.com/ci/content/player/1161023.html,"November 24, 2000 ",India Under-19s,-,4,0,0,0,0*,0,1,1,1,0,0,0.00,0
Shoaib Manager,http://www.espncricinfo.com/ci/content/player/340839.html,"September 13, 1984, Hubli, Karnataka ",Railways,1.33,26,0,2,0,2,0,3,3,0,4,0,15.38,0
Ravi Pandey,http://www.espncricinfo.com/ci/content/player/390841.html,"December 21, 1986, Allahabad ",Services,23.50,104,7,0,0,40,0,2,2,0,47,0,45.19,0
Kant Singh,http://www.espncricinfo.com/ci/content/player/1059569.html,"September 30, 1989, Bilaspur, Chhattisgarh ",Chhattisgarh,9.75,177,8,2,0,22,0,10,6,2,78,2,44.06,0
Rahul Kanojia,http://www.espncricinfo.com/ci/content/player/681467.html,"December 26, 1994, Amritsar, Punjab ","Punjab Under-16s,",2.83,82,2,0,0,7,0,6,4,0,17,1,20.73,0
Rajesh Kanojia,http://www.espncricinfo.com/ci/content/player/279327.html,"August 24, 1982, Indore ",Madhya Pradesh,33.00,30,3,1,0,19*,0,3,6,2,33,1,110.00,0
Mamatha Kanojia,http://www.espncricinfo.com/ci/content/player/54216.html,"January 30, 1984 ","Hyderabad (India) Women,",15.25,124,5,1,0,30,0,4,7,0,61,1,49.19,0
Hrithik Kanojia,http://www.espncricinfo.com/ci/content/player/1159942.html,"October 24, 1999, Delhi ",Manipur,25.33,219,23,1,1,91,0,6,3,0,152,1,69.40,0
Santha Kannan,http://www.espncricinfo.com/ci/content/player/30204.html,"September 5, 1976, Coimbatore, Tamil Nadu ",Railways,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Hrishikesh Kanitkar,http://www.espncricinfo.com/ci/content/player/30018.html,"November 14, 1974, Pune, Maharashtra ","India,",18.50,185,8,0,0,45,0,4,2,0,74,0,40.00,0
Jaweed Ali,http://www.espncricinfo.com/ci/content/player/945905.html,"December 15, 1993, Hyderabad, Andhra Pradesh ","Hyderabad (India),",55.00,58,5,3,0,44*,0,4,4,3,55,0,94.82,0
Javed Khan,http://www.espncricinfo.com/ci/content/player/631130.html,"July 10, 1993, Katai, Hasanpur, Uttar Pradesh ",Mumbai Indians,0.00,1,0,1,0,0*,0,2,4,1,0,0,0.00,0
Javed Ahmed,http://www.espncricinfo.com/ci/content/player/341227.html,"May 26, 1984, Srinagar, Kashmir ",Jammu & Kashmir,20.21,718,38,2,1,55,0,14,7,0,283,0,39.41,0
Sandil Natkan,http://www.espncricinfo.com/ci/content/player/31873.html,"September 24, 1983, Rajkot, Gujarat ","Saurashtra,",12.50,59,4,0,0,18,0,2,1,0,25,0,42.37,0
Natraj Behera,http://www.espncricinfo.com/ci/content/player/291438.html,"May 28, 1988, Rourkela, Orissa ","Kolkata Knight Riders,",34.44,6741,426,20,11,255*,8,93,54,5,3031,16,44.96,0
